property_name,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
2BHK FULLY FURNISHED FLAT FOR RENT AT THONDAYAD BYPASS NEAR CYBER PARK,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2BHK FULLY FURNISHED FLAT FOR RENT AT THONDAYAD BYPASS NEAR CYBER PARK","{'amount': '32000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nhr6jh9zebhk2-IN/image;s=850x0,"2BHK FULLY FURNISHED FLAT FOR RENT AT THONDAYAD BYPASS NEAR CYBER PARK,* 2Bedroom with Balcony,* 3 Balconies,* Fully Furnished,* All electronics are available ,* Modular Kitchen,AMENITIES,* Swimming Pool (Common & Ladies),* Gym,* Mini theatre,* Indoor Games,* Guest Suite ,* Kids park,* Club House,* Covered car parking,* Super market,* Restaurant ,* 24/7 CCTV,* 24/7 Security and caretaker,* Power backup,* Pic may not be original ,For more details please contact ,Planet homes ,Karaparamba",Planet Homes,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,2
PG/HOSTEL for ladies,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,PG/HOSTEL for ladies","{'amount': '3000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wsxb5gdilx871-IN/image;s=850x0,"Well maintained ladies pg/hostel , single,two,and four sharing , with homely food . Bakery,grocery,hotels etc are walkable distance. 15 Far away from Kozhikode city , 5 min from Kozhikode main bypass , comfortable and safe stay for ladies.,Including ,*furniture ,*bed,*electricity,*free WiFi ,*purified water,*washing area ,* open terrace, *cc camera ,*car parking,*bike parking",AIRICS ,"Nadakkavu, Kozhikode, Kerala",Flats / Apartments,4,2
PG for ladies,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,PG for ladies","{'amount': '6000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/vqyj8c93io9j3-IN/image;s=850x0,"Homely food available,Wifi,CCTV",Akshay,"Mankavu, Kozhikode, Kerala",Individual House / Villa,4+,4+
Newly build house to stay,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,Newly build house to stay","{'amount': '27000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/m78xhh082go5-IN/image;s=850x0,4 BED ROOM HOUSE FOR RENT,Deepak,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,4,4
Kozhikode chevarampalam 100 m from bus stop,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,Kozhikode chevarampalam 100 m from bus stop","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lh8vn1jtg68e-IN/image;s=850x0,1 st floor apartment,Shaji KP,"Chevarambalam, Kozhikode, Kerala",Flats / Apartments,2,2
Near by baby memorial hospital,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thiruthiyad,Near by baby memorial hospital","{'amount': '3300', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fz54wh4q86dc2-IN/image;s=850x0,"Azhakudi temple road,near by bus stand, easy access to city, neat rooms",OLX User,"Thiruthiyad, Kozhikode, Kerala",Flats / Apartments,2,2
For lease 8 lak,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu Payyankal Village,For lease 8 lak","{'amount': '800000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lmas3yws4mqf3-IN/image;s=850x0,പയ്യാനക്കൽ near ചന്ദ്രിക മെറ്റൽസ്,OLX User ,"Mankavu Payyankal Village, Kozhikode, Kerala",Individual House / Villa,1,2
HOUSE FOR RENT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,HOUSE FOR RENT","{'amount': '9000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/eqjixx49hl4y-IN/image;s=850x0,"House for rent near Medical collage area,2 BHK ,Semi-furnished,Car park,Rent 15,000/-,FLAT 2BHK,Rent 9,000/-,For family & Students",Sam,"Kovoor, Kozhikode, Kerala",Individual House / Villa,2,2
3bhk unfurnished house for rent near star care,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nellikode,3bhk unfurnished house for rent near star care","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/gpqrdi21hq3o-IN/image;s=850x0,"Branded Flats Rent & Sale In Calicut Town,3Bhk house for Rent  At near star care,This Property Located In A Prime Location ,*Very Close to hospital, Schools, Supermarkets And Railway Station.,Rent :- 18000/-,Note:-Showing Images Are Advertising Purpose Only/-,More Details ,Endless Properties,2nd Floor, Kairali Complex,Thondayad, Calicut",Endless properties,"Nellikode, Kozhikode, Kerala",Individual House / Villa,2,3
1 BHK FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,1 BHK FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/a0fadiqt50y9-IN/image;s=850x0,"Branded flat for rent and sale available in calicut ,1 BHK FURNISHED FLAT FOR RENT NEAR ASHOKAPURAM ,RENT: 20000/-,Located in prime location,Very close: Ashokapuram, eranjipalam, civil station, nadakkavu, baby memorial hospital ,Amenities:, ,Swimming pool ,lift,children play area,parking,cctv,security,power backup,waste managment,1 BHK SEMI FURNISHED FLAT FOR RENT NEAR MEDICAL COLLAGE,RENT: 18000/-,1 BHK SEMI FURNISHED FLAT FOR RENT NEAR NADAKKAVU,RENT :15000/-,1 BHK SEMI FURNISHED FLAT FOR RENT NEAR WEST HILL,RENT: 11000/-",PROPERTY HUB,"Ashokapuram, Kozhikode, Kerala",Flats / Apartments,1,1
3BHK FULLY FURNISHED LUXURY FLAT FOR RENT AT THONDAYAD,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3BHK FULLY FURNISHED LUXURY FLAT FOR RENT AT THONDAYAD","{'amount': '41000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/9o3buffcs55c1-IN/image;s=850x0,"3BHK FULLY FURNISHED LUXURY FLAT FOR RENT AT THONDAYAD ,* 3Bedroom ,* Balcony ,* Fully Furnished,* All electronics are available ,* Modular Kitchen,AMENITIES,* Swimming Pool ,* Gym,* Indoor Games,* Kids park,* Covered car parking,* 24/7 CCTV,* 24/7 Security and caretaker,* Power backup,Pic may not be original ,For more details please contact,Planet Homes,Karaparamba",Planet Homes,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,3
